MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,RL,114.5990555,12976.32283,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SLvl,7,5,2018.022763,1997.967142,Gable,CompShg,VinylSd,VinylSd,BrkFace,136.7673885,Gd,TA,PConc,Gd,TA,No,GLQ,573.2643619,Unf,0,738.6471919,1009.625953,Floor,Ex,Y,SBrkr,892.9001399,785.9109264,9.198646935,1745.422665,0,0,2,1,3,1,Ex,7,Maj1,1,,Attchd,2016.297743,RFn,2,522.6993772,TA,TA,Y,0,96.32415843,24.72370491,255.8828206,0,0,,,,296.2493428,5,2008,ConLD,Normal,155664.5702
80,RL,66.95934836,15594.19452,Pave,,IR2,Bnk,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2.5Fin,5,8,1940.100777,1994.519936,Gable,CompShg,Wd Sdng,Wd Sdng,None,183.5758234,TA,TA,PConc,TA,TA,No,LwQ,891.8483128,Unf,198.8611974,234.6633026,453.2235129,GasA,Ex,Y,SBrkr,998.3535982,464.3583784,427.3581952,2372.782821,0,0,2,1,4,1,Gd,8,Min1,1,Gd,Detchd,1951.179079,Unf,1,379.7429751,Po,TA,N,244.1440814,34.96403836,8.195455004,15.52590943,0,0,,,,254.0088971,7,2008,ConLD,Normal,192977.2322
20,RL,,12391.79526,Pave,,IR3,Lvl,AllPub,FR3,Gtl,Sawyer,RRNn,Norm,1Fam,1Story,5,5,1959.392421,1971.914206,Gable,WdShake,MetalSd,MetalSd,BrkFace,31,TA,Gd,CBlock,Ex,Po,,BLQ,163.9468236,,130.7539605,135.0095795,1001.223068,Wall,TA,Y,SBrkr,989.8739628,265.6959729,0,1312.052013,0,0,1,0,3,1,TA,5,Sev,0,,Detchd,1960.104117,RFn,1,317.916621,TA,Fa,Y,20.40682619,11.16830979,0,22.70311417,59.67925558,0,,MnPrv,,188.1438169,2,2010,WD,Normal,142885.1679
50,RM,24.56830346,1936,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2.5Unf,4,6,1991.47574,1971.72188,Gable,CompShg,CemntBd,CmentBd,Stone,62.58590164,TA,TA,CBlock,Fa,TA,Av,BLQ,85.0960946,GLQ,395.8974054,0,302.6371895,Grav,Gd,Y,Mix,507.7434003,53.37896003,35.8953816,650.8024966,1,0,1,0,1,1,TA,3,Typ,0,,,,,0,0,,Ex,Y,0,0,39.56592782,8.18337881,23.60514121,34.64005568,,MnPrv,,0,12,2007,WD,Normal,84625.21688
20,RL,,25084.79214,Pave,,IR3,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1971.109318,1967.476198,Hip,CompShg,VinylSd,Plywood,BrkFace,243.5888097,TA,Po,CBlock,TA,,No,Rec,1004.712532,Rec,48.58397146,400.5733096,1241.025288,GasA,Fa,Y,SBrkr,1302.997115,225.0494734,0,717.4190572,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1994.059814,RFn,2,363.5594427,TA,TA,Y,14.84822378,0,40.08962814,7.065954304,61.99720774,0,,GdPrv,,0,5,2010,COD,Abnorml,131905.5095
60,RL,79.86860139,6765.873907,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,RRAe,1Fam,2Story,8,5,2007.380235,2037.311524,Gable,CompShg,AsbShng,VinylSd,Stone,325.8080267,Gd,TA,PConc,Ex,TA,Gd,LwQ,1478.843667,Unf,0,56.39891952,1647.553118,GasA,Ex,Y,SBrkr,1638.232628,714.3141815,0,2100.519848,1,0,1,1,3,1,Ex,8,Min1,1,Po,Attchd,1999.33612,Unf,3,732.2947814,TA,TA,N,191.5073032,124.3323014,0,0,0,0,,,TenC,200.803624,11,2007,New,AdjLand,285921.1911
60,FV,79.19169082,6589.505897,Pave,,Reg,Bnk,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,SFoyer,8,5,1995.041288,1985.439214,Flat,Metal,VinylSd,AsbShng,BrkFace,267.4968319,Gd,TA,PConc,Gd,TA,No,Unf,82.57983306,Unf,53.87834664,1072.643885,1255.347283,GasA,Ex,Y,SBrkr,1170.615709,1511.831566,11.06997412,2220.356971,0,0,2,1,4,1,Ex,10,Typ,1,Gd,BuiltIn,1995.061901,Fin,3,581.2877469,TA,TA,Y,37.19970442,85.25819028,0,0,0,0,,MnPrv,,162.0149398,5,2007,WD,Normal,307223.9581
160,FV,14.20355851,3180,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,RRNe,Norm,TwnhsE,2Story,7,5,2011.519031,1988.799487,Gable,WdShake,MetalSd,AsphShn,None,65.52201254,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,744.0677842,609.3991383,GasA,Ex,Y,FuseF,918.6492607,778.9748631,74.88082923,1111.149947,0,0,2,1,2,1,Gd,4,Typ,0,Po,Basment,2003.640838,RFn,2,387.3505539,TA,TA,Y,0,149.8918515,0,6.47101047,0,8.03850083,Fa,,,0,6,2006,COD,Normal,136710.0442
60,RL,37.23712058,5337.409752,Grvl,Grvl,IR2,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,RRAe,1Fam,2Story,7,5,1998.873267,2019.674718,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,No,Unf,385.4640089,Unf,0,1305.627308,988.0922817,GasA,Ex,Y,SBrkr,1000.617187,1162.938086,0,1472.350598,0,0,2,1,4,1,Gd,8,Typ,1,Gd,BuiltIn,2002.658474,Fin,2,519.4631912,TA,TA,Y,165.3695077,59.2791087,0,8.458782932,0,4.121803586,,GdWo,,166.9743756,9,2006,WD,Normal,174309.7811
20,C (all),,4901.563297,Pave,,IR3,Low,NoSeWa,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,7,5,1996.517835,1995.90132,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,145,Gd,TA,PConc,Gd,,Gd,GLQ,1280.865418,Unf,0,0,1520.737841,GasA,Gd,Y,SBrkr,1806.860115,0,0,1771.160726,1,1,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1990.293363,,2,713.470327,Ex,TA,Y,121.5390937,0,0,15.35866272,427.8031679,3.502077997,,GdWo,,0,8,2009,WD,Normal,262801.0122
